"","studyDbId","location","year","latitude","longitude","YYYYMMDD","T2M","PRECTOTCORR","ALLSKY_SFC_SW_DWN"
"1",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-01,8.15,4.36,11.19
"2",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-02,5.87,8.15,5.74
"3",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-03,2.87,6.06,8.22
"4",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-04,1.56,0.12,13.59
"5",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-05,1.77,0.02,15.69
"6",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-06,1.74,0,16.17
"7",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-07,3.74,0,14.31
"8",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-08,1.47,0.07,10.81
"9",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-09,-3.02,0,16.19
"10",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-10,-1.46,0,13.12
"11",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-11,0.89,0.28,7.04
"12",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-12,5.59,0.09,12.83
"13",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-13,5.54,2.75,13.03
"14",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-14,5.43,6.95,10.56
"15",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-15,6.11,3.5,15.74
"16",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-16,4.18,0.05,17.61
"17",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-17,3.61,0.03,10.86
"18",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-18,4.73,0.03,12.09
"19",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-19,3.91,1.55,9.33
"20",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-20,2.41,0.05,16.84
"21",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-21,2.85,3.64,8.63
"22",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-22,5.98,0.12,10.46
"23",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-23,8.53,0.44,13.39
"24",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-24,5.61,0,15.29
"25",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-25,7.28,0,15.62
"26",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-26,9.88,0.01,16.6
"27",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-27,10.99,0,15.71
"28",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-28,10.82,0.08,16.5
"29",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-29,9.39,0,20.42
"30",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-30,7.61,0.03,18.95
"31",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-03-31,4.46,0.09,19.42
"32",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-04-01,4.74,0.25,19.4
"33",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-04-02,6.84,2.29,20.93
"34",10701,"Davenport,  WA",2022,47.6540456,-118.149973,2022-04-03,6.23,0.73,16.28
